SourceFile,SourceLineStart,SourceLineEnd,SourceSHA256,TargetID,TargetSHA256,Disposition
Datasheet.md,1,4,3a2d9fc191c9ccea679098f9345273326459a6954540fbab4c7d93f58d0fe957,CLM-001,090a041bfda14f2ff1397378d74c79e9b394d4986bc3356a6e5243547d90f173,PRESERVED
Datasheet.md,5,18,3a2d9fc191c9ccea679098f9345273326459a6954540fbab4c7d93f58d0fe957,CLM-002,090a041bfda14f2ff1397378d74c79e9b394d4986bc3356a6e5243547d90f173,PRESERVED
Datasheet.md,19,29,3a2d9fc191c9ccea679098f9345273326459a6954540fbab4c7d93f58d0fe957,CLM-003,090a041bfda14f2ff1397378d74c79e9b394d4986bc3356a6e5243547d90f173,PRESERVED
Datasheet.md,30,40,3a2d9fc191c9ccea679098f9345273326459a6954540fbab4c7d93f58d0fe957,CLM-004,090a041bfda14f2ff1397378d74c79e9b394d4986bc3356a6e5243547d90f173,PRESERVED
Datasheet.md,41,50,3a2d9fc191c9ccea679098f9345273326459a6954540fbab4c7d93f58d0fe957,CLM-005,090a041bfda14f2ff1397378d74c79e9b394d4986bc3356a6e5243547d90f173,PRESERVED
Datasheet.md,51,60,3a2d9fc191c9ccea679098f9345273326459a6954540fbab4c7d93f58d0fe957,CLM-006,090a041bfda14f2ff1397378d74c79e9b394d4986bc3356a6e5243547d90f173,PRESERVED
Specification.md,1,2,e7173005cb7465d661d94b331035a25fa67e8b4a023516a10306369fe1d576bc,CLM-007,090a041bfda14f2ff1397378d74c79e9b394d4986bc3356a6e5243547d90f173,PRESERVED
Specification.md,3,23,e7173005cb7465d661d94b331035a25fa67e8b4a023516a10306369fe1d576bc,CLM-008,090a041bfda14f2ff1397378d74c79e9b394d4986bc3356a6e5243547d90f173,PRESERVED
Specification.md,24,42,e7173005cb7465d661d94b331035a25fa67e8b4a023516a10306369fe1d576bc,CLM-009,090a041bfda14f2ff1397378d74c79e9b394d4986bc3356a6e5243547d90f173,PRESERVED
Specification.md,43,51,e7173005cb7465d661d94b331035a25fa67e8b4a023516a10306369fe1d576bc,CLM-010,090a041bfda14f2ff1397378d74c79e9b394d4986bc3356a6e5243547d90f173,PRESERVED
Specification.md,52,70,e7173005cb7465d661d94b331035a25fa67e8b4a023516a10306369fe1d576bc,CLM-011,090a041bfda14f2ff1397378d74c79e9b394d4986bc3356a6e5243547d90f173,PRESERVED
Specification.md,71,85,e7173005cb7465d661d94b331035a25fa67e8b4a023516a10306369fe1d576bc,CLM-012,090a041bfda14f2ff1397378d74c79e9b394d4986bc3356a6e5243547d90f173,PRESERVED
Specification.md,86,94,e7173005cb7465d661d94b331035a25fa67e8b4a023516a10306369fe1d576bc,CLM-013,090a041bfda14f2ff1397378d74c79e9b394d4986bc3356a6e5243547d90f173,PRESERVED
Specification.md,95,98,e7173005cb7465d661d94b331035a25fa67e8b4a023516a10306369fe1d576bc,CLM-014,090a041bfda14f2ff1397378d74c79e9b394d4986bc3356a6e5243547d90f173,PRESERVED
Specification.md,99,101,e7173005cb7465d661d94b331035a25fa67e8b4a023516a10306369fe1d576bc,CLM-015,090a041bfda14f2ff1397378d74c79e9b394d4986bc3356a6e5243547d90f173,PRESERVED
Procedure.md,1,4,bb876a9adcce03b2d1a8e1adf7f5310ec9c90a2b8ced0f1d0d0acbbdb306ac68,CLM-016,090a041bfda14f2ff1397378d74c79e9b394d4986bc3356a6e5243547d90f173,PRESERVED
Procedure.md,5,8,bb876a9adcce03b2d1a8e1adf7f5310ec9c90a2b8ced0f1d0d0acbbdb306ac68,CLM-017,090a041bfda14f2ff1397378d74c79e9b394d4986bc3356a6e5243547d90f173,PRESERVED
Procedure.md,9,19,bb876a9adcce03b2d1a8e1adf7f5310ec9c90a2b8ced0f1d0d0acbbdb306ac68,CLM-018,090a041bfda14f2ff1397378d74c79e9b394d4986bc3356a6e5243547d90f173,PRESERVED
Procedure.md,20,60,bb876a9adcce03b2d1a8e1adf7f5310ec9c90a2b8ced0f1d0d0acbbdb306ac68,CLM-019,090a041bfda14f2ff1397378d74c79e9b394d4986bc3356a6e5243547d90f173,PRESERVED
Procedure.md,61,75,bb876a9adcce03b2d1a8e1adf7f5310ec9c90a2b8ced0f1d0d0acbbdb306ac68,CLM-020,090a041bfda14f2ff1397378d74c79e9b394d4986bc3356a6e5243547d90f173,PRESERVED
