SourceFile,SourceLineStart,SourceLineEnd,SourceSHA256,TargetID,TargetSHA256,Disposition
Datasheet.md,1,4,6af745fc1f9d8ebf3b2bcd18d3b69fc1dce2aa5933bc1acae8deb7f2cdd00a9b,CLM-001,8b77da5d79a8e3c165771c9bfb4971d5fd671c86ab664a4a9faa269142bb38c3,PRESERVED
Datasheet.md,5,20,6af745fc1f9d8ebf3b2bcd18d3b69fc1dce2aa5933bc1acae8deb7f2cdd00a9b,CLM-002,8b77da5d79a8e3c165771c9bfb4971d5fd671c86ab664a4a9faa269142bb38c3,PRESERVED
Datasheet.md,21,32,6af745fc1f9d8ebf3b2bcd18d3b69fc1dce2aa5933bc1acae8deb7f2cdd00a9b,CLM-003,8b77da5d79a8e3c165771c9bfb4971d5fd671c86ab664a4a9faa269142bb38c3,PRESERVED
Datasheet.md,33,40,6af745fc1f9d8ebf3b2bcd18d3b69fc1dce2aa5933bc1acae8deb7f2cdd00a9b,CLM-004,8b77da5d79a8e3c165771c9bfb4971d5fd671c86ab664a4a9faa269142bb38c3,PRESERVED
Datasheet.md,41,50,6af745fc1f9d8ebf3b2bcd18d3b69fc1dce2aa5933bc1acae8deb7f2cdd00a9b,CLM-005,8b77da5d79a8e3c165771c9bfb4971d5fd671c86ab664a4a9faa269142bb38c3,PRESERVED
Datasheet.md,51,62,6af745fc1f9d8ebf3b2bcd18d3b69fc1dce2aa5933bc1acae8deb7f2cdd00a9b,CLM-006,8b77da5d79a8e3c165771c9bfb4971d5fd671c86ab664a4a9faa269142bb38c3,PRESERVED
Specification.md,1,4,518d836a93ae4cc53621e47c55d9d733197b7d015a01046feb7ecd19e64a714b,CLM-007,8b77da5d79a8e3c165771c9bfb4971d5fd671c86ab664a4a9faa269142bb38c3,PRESERVED
Specification.md,5,14,518d836a93ae4cc53621e47c55d9d733197b7d015a01046feb7ecd19e64a714b,CLM-008,8b77da5d79a8e3c165771c9bfb4971d5fd671c86ab664a4a9faa269142bb38c3,PRESERVED
Specification.md,15,29,518d836a93ae4cc53621e47c55d9d733197b7d015a01046feb7ecd19e64a714b,CLM-009,8b77da5d79a8e3c165771c9bfb4971d5fd671c86ab664a4a9faa269142bb38c3,PRESERVED
Specification.md,30,37,518d836a93ae4cc53621e47c55d9d733197b7d015a01046feb7ecd19e64a714b,CLM-010,8b77da5d79a8e3c165771c9bfb4971d5fd671c86ab664a4a9faa269142bb38c3,PRESERVED
Specification.md,38,49,518d836a93ae4cc53621e47c55d9d733197b7d015a01046feb7ecd19e64a714b,CLM-011,8b77da5d79a8e3c165771c9bfb4971d5fd671c86ab664a4a9faa269142bb38c3,PRESERVED
Specification.md,50,59,518d836a93ae4cc53621e47c55d9d733197b7d015a01046feb7ecd19e64a714b,CLM-012,8b77da5d79a8e3c165771c9bfb4971d5fd671c86ab664a4a9faa269142bb38c3,PRESERVED
Specification.md,60,62,518d836a93ae4cc53621e47c55d9d733197b7d015a01046feb7ecd19e64a714b,CLM-013,8b77da5d79a8e3c165771c9bfb4971d5fd671c86ab664a4a9faa269142bb38c3,PRESERVED
Procedure.md,1,4,295d0af0b7b881a406a90f0cf89e30f6b76b732ba8740c5444e39868c8d64bf7,CLM-014,8b77da5d79a8e3c165771c9bfb4971d5fd671c86ab664a4a9faa269142bb38c3,PRESERVED
Procedure.md,5,8,295d0af0b7b881a406a90f0cf89e30f6b76b732ba8740c5444e39868c8d64bf7,CLM-015,8b77da5d79a8e3c165771c9bfb4971d5fd671c86ab664a4a9faa269142bb38c3,PRESERVED
Procedure.md,9,17,295d0af0b7b881a406a90f0cf89e30f6b76b732ba8740c5444e39868c8d64bf7,CLM-016,8b77da5d79a8e3c165771c9bfb4971d5fd671c86ab664a4a9faa269142bb38c3,PRESERVED
Procedure.md,18,61,295d0af0b7b881a406a90f0cf89e30f6b76b732ba8740c5444e39868c8d64bf7,CLM-017,8b77da5d79a8e3c165771c9bfb4971d5fd671c86ab664a4a9faa269142bb38c3,PRESERVED
Procedure.md,62,72,295d0af0b7b881a406a90f0cf89e30f6b76b732ba8740c5444e39868c8d64bf7,CLM-018,8b77da5d79a8e3c165771c9bfb4971d5fd671c86ab664a4a9faa269142bb38c3,PRESERVED
Procedure.md,73,80,295d0af0b7b881a406a90f0cf89e30f6b76b732ba8740c5444e39868c8d64bf7,CLM-019,8b77da5d79a8e3c165771c9bfb4971d5fd671c86ab664a4a9faa269142bb38c3,PRESERVED
Guidance.md,1,4,ad3196113695a0ed7de6db0589e97b57f73ba49fdfa213b7bd613e5a5df770fe,CLM-020,8b77da5d79a8e3c165771c9bfb4971d5fd671c86ab664a4a9faa269142bb38c3,PRESERVED
Guidance.md,5,8,ad3196113695a0ed7de6db0589e97b57f73ba49fdfa213b7bd613e5a5df770fe,CLM-021,8b77da5d79a8e3c165771c9bfb4971d5fd671c86ab664a4a9faa269142bb38c3,PRESERVED
Guidance.md,9,18,ad3196113695a0ed7de6db0589e97b57f73ba49fdfa213b7bd613e5a5df770fe,CLM-022,8b77da5d79a8e3c165771c9bfb4971d5fd671c86ab664a4a9faa269142bb38c3,PRESERVED
Guidance.md,19,27,ad3196113695a0ed7de6db0589e97b57f73ba49fdfa213b7bd613e5a5df770fe,CLM-023,8b77da5d79a8e3c165771c9bfb4971d5fd671c86ab664a4a9faa269142bb38c3,PRESERVED
Guidance.md,28,36,ad3196113695a0ed7de6db0589e97b57f73ba49fdfa213b7bd613e5a5df770fe,CLM-024,8b77da5d79a8e3c165771c9bfb4971d5fd671c86ab664a4a9faa269142bb38c3,PRESERVED
Guidance.md,37,43,ad3196113695a0ed7de6db0589e97b57f73ba49fdfa213b7bd613e5a5df770fe,CLM-025,8b77da5d79a8e3c165771c9bfb4971d5fd671c86ab664a4a9faa269142bb38c3,PRESERVED
Guidance.md,44,49,ad3196113695a0ed7de6db0589e97b57f73ba49fdfa213b7bd613e5a5df770fe,CLM-026,8b77da5d79a8e3c165771c9bfb4971d5fd671c86ab664a4a9faa269142bb38c3,PRESERVED
Guidance.md,50,52,ad3196113695a0ed7de6db0589e97b57f73ba49fdfa213b7bd613e5a5df770fe,CLM-027,8b77da5d79a8e3c165771c9bfb4971d5fd671c86ab664a4a9faa269142bb38c3,PRESERVED
