ordinal	package	deliverable_id	candidate_sha256	mapping_rows	source_lines	standalone_schema	authorized_dual	claim_map	parity	checklist_identity	render_identity_safety	partial_negative	unauthorized_dual_negative	source_status_control_identity
1	APP-PKG-08	DEL-08-01	3d61ba8d613f42d57f6c5af3601efd33de613260867c8c8701c1f5205f3eed6e	26	292	PASS_SOW_V1	PASS_MIGRATION_DUAL	PASS_PRESERVED	PASS	PASS	PASS	PASS_FAIL_CLOSED	PASS_FAIL_CLOSED	PASS
2	APP-PKG-08	DEL-08-02	4d5b3d296511edf1285bc953fe6777c439585e2a0be74121fe282e39a4626550	26	309	PASS_SOW_V1	PASS_MIGRATION_DUAL	PASS_PRESERVED	PASS	PASS	PASS	PASS_FAIL_CLOSED	PASS_FAIL_CLOSED	PASS
3	APP-PKG-08	DEL-08-03	3c0f7e68aaebcb4a92c2a48e017c310277d353c7894db66fcd4faceb8d9305bd	37	372	PASS_SOW_V1	PASS_MIGRATION_DUAL	PASS_PRESERVED	PASS	PASS	PASS	PASS_FAIL_CLOSED	PASS_FAIL_CLOSED	PASS
4	APP-PKG-08	DEL-08-04	2ccc40e70253446c8148bab4de9bc08e8e72cf58d20ece005bac71e85ed31511	31	292	PASS_SOW_V1	PASS_MIGRATION_DUAL	PASS_PRESERVED	PASS	PASS	PASS	PASS_FAIL_CLOSED	PASS_FAIL_CLOSED	PASS
5	APP-PKG-08	DEL-08-05	8a1f1214aebf3d7c8b1a4dfb4fad71b0142e311e663573b6d60a21d0d8ca2167	35	320	PASS_SOW_V1	PASS_MIGRATION_DUAL	PASS_PRESERVED	PASS	PASS	PASS	PASS_FAIL_CLOSED	PASS_FAIL_CLOSED	PASS
6	APP-PKG-09	DEL-09-01	8b77da5d79a8e3c165771c9bfb4971d5fd671c86ab664a4a9faa269142bb38c3	27	256	PASS_SOW_V1	PASS_MIGRATION_DUAL	PASS_PRESERVED	PASS	PASS	PASS	PASS_FAIL_CLOSED	PASS_FAIL_CLOSED	PASS
7	APP-PKG-09	DEL-09-02	c38c4fbe628b9f086cdc2be4e0cd9be6d86de0ee28b89c1b06a4d79cf49524c4	28	282	PASS_SOW_V1	PASS_MIGRATION_DUAL	PASS_PRESERVED	PASS	PASS	PASS	PASS_FAIL_CLOSED	PASS_FAIL_CLOSED	PASS
8	APP-PKG-09	DEL-09-03	6b79194c67b73bbf85435ad5ceae221a68304c41f3294002825d4ad8917993a5	27	268	PASS_SOW_V1	PASS_MIGRATION_DUAL	PASS_PRESERVED	PASS	PASS	PASS	PASS_FAIL_CLOSED	PASS_FAIL_CLOSED	PASS
9	APP-PKG-09	DEL-09-04	d94f72590fef8b5863b195bcf2e7cf4c04d126ad026eaaaf1655e2ece119977a	25	256	PASS_SOW_V1	PASS_MIGRATION_DUAL	PASS_PRESERVED	PASS	PASS	PASS	PASS_FAIL_CLOSED	PASS_FAIL_CLOSED	PASS
10	APP-PKG-09	DEL-09-05	62ee5ae9590b51b8be3ae59e91f88a134b7c42d071ac6132f50461d29a78557d	33	414	PASS_SOW_V1	PASS_MIGRATION_DUAL	PASS_PRESERVED	PASS	PASS	PASS	PASS_FAIL_CLOSED	PASS_FAIL_CLOSED	PASS
11	APP-PKG-09	DEL-09-06	940a5b70a194c390909739f2a85ecdbe7856ee27483cfc24738146a2eb555e48	29	305	PASS_SOW_V1	PASS_MIGRATION_DUAL	PASS_PRESERVED	PASS	PASS	PASS	PASS_FAIL_CLOSED	PASS_FAIL_CLOSED	PASS
12	APP-PKG-10	DEL-10-01	2947f62aea6f7fe9b63708a713fa3cc769687cedb23a50507b07dc14e7579871	30	369	PASS_SOW_V1	PASS_MIGRATION_DUAL	PASS_PRESERVED	PASS	PASS	PASS	PASS_FAIL_CLOSED	PASS_FAIL_CLOSED	PASS
13	APP-PKG-10	DEL-10-02	204721c5221d1311ff94c93fa60ff3292d715ad2ab146032c7d6ba71f85582bb	27	282	PASS_SOW_V1	PASS_MIGRATION_DUAL	PASS_PRESERVED	PASS	PASS	PASS	PASS_FAIL_CLOSED	PASS_FAIL_CLOSED	PASS
14	APP-PKG-10	DEL-10-03	2f8abf603425a53161f41d0b67b9c590832af3daee97794de876430340c6b677	30	341	PASS_SOW_V1	PASS_MIGRATION_DUAL	PASS_PRESERVED	PASS	PASS	PASS	PASS_FAIL_CLOSED	PASS_FAIL_CLOSED	PASS
15	APP-PKG-10	DEL-10-04	13378ea31a55e2d425bd054391627c34094c2a0cab7556a801a683e400b70f3f	34	309	PASS_SOW_V1	PASS_MIGRATION_DUAL	PASS_PRESERVED	PASS	PASS	PASS	PASS_FAIL_CLOSED	PASS_FAIL_CLOSED	PASS
16	APP-PKG-10	DEL-10-05	0761ab08daee0d87e69b6efad3216e5228e34be8207a1483e335bfbb237e2c9a	36	318	PASS_SOW_V1	PASS_MIGRATION_DUAL	PASS_PRESERVED	PASS	PASS	PASS	PASS_FAIL_CLOSED	PASS_FAIL_CLOSED	PASS
